pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2026-04-01,87.2,2.57,5.85,"Gonzales, Nick",693304,671096,strikeout,swinging_strike,,,,,9,Nick Gonzales strikes out swinging.,R,R,L,CIN,PIT,S,2.0,,1,2,2026,1.35,0.94,0.6283377367686038,1.4657588525733731,,,,2,5,Top,,,,,,,-7.472688007181892,-126.69504472105083,-6.081747318113528,16.04911358594204,27.461546667679553,-20.938282346707,3.05062336,1.539566929,,,,87.5,2153,6.7,824536,663886,701398,680574,663647,682829,668715,670770,666181,53.77,,0.0,0.0,1.0,0.0,0.0,,36,5,Changeup,1,3,3,1,3,1,3,1,Standard,Strategic,136,0.006,-0.182,67.9,8.3,,0.182,,-2,2,0.283,0.7170000000000001,27,27,27,27,3,2,6.0,1.0,,,2.08,1.35,-1.35,49.1,15.300960191947684,1.7007865947760057,37.38740560405254,43.0107757877271,25.505770133253176
FF,2026-04-01,93.2,2.6,5.87,"Gonzales, Nick",693304,671096,,foul,,,,,4,Foul,R,R,L,CIN,PIT,S,,,1,2,2026,0.47,1.48,-0.6873280891072637,2.547488243292177,,,,2,5,Top,,,,,,,-9.430464582206255,-135.2674333164072,-5.845506473257636,7.89444364821188,31.44398620615019,-12.918286975270188,3.05062336,1.539566929,,,,93.5,2391,6.7,824536,663886,701398,680574,663647,682829,668715,670770,666181,53.76,,,,,,,,36,4,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Strategic,147,0.0,0.0,71.0,6.5,,0.0,,-2,2,0.283,0.7170000000000001,27,27,27,27,3,2,6.0,1.0,,,1.17,0.47,-0.47,47.9,1.3638729700013144,8.87722288165156,39.47123196050383,24.954999712900147,21.421663818813556
CU,2026-04-01,82.6,2.54,5.95,"Gonzales, Nick",693304,671096,,ball,,,,,13,Ball,R,R,L,CIN,PIT,B,,,0,2,2026,-1.53,-0.34,-0.9401548136625748,0.9384195620228156,,,,2,5,Top,,,,,,,-4.822533097750317,-120.14796088031248,-3.83023573853182,-13.428912042988571,28.085717674080943,-34.80041229409863,3.05062336,1.539566929,,,,82.4,2969,6.6,824536,663886,701398,680574,663647,682829,668715,670770,666181,53.86,,,,,,,,36,3,Curveball,1,3,3,1,3,1,3,1,Standard,Standard,315,-0.001,0.022,,,,-0.022,,-2,2,0.284,0.716,27,27,27,27,3,2,6.0,1.0,,,3.74,-1.53,1.53,52.4,,,,,
CH,2026-04-01,87.2,2.65,5.86,"Gonzales, Nick",693304,671096,,swinging_strike,,,,,9,Swinging Strike,R,R,L,CIN,PIT,S,,,0,1,2026,1.32,0.86,0.5088786649235362,1.5586472785072285,,,,2,5,Top,,,,,,,-7.900009444406221,-126.59396518224148,-5.704580417145725,15.864552057647511,27.805860999526708,-21.894816486827988,3.05062336,1.539566929,,,,87.4,2083,6.7,824536,663886,701398,680574,663647,682829,668715,670770,666181,53.78,,,,,,,,36,2,Changeup,1,3,3,1,3,1,3,1,Standard,Standard,138,0.003,-0.057,68.7,8.4,,0.057,,-2,2,0.281,0.719,27,27,27,27,3,2,6.0,1.0,,,2.17,1.32,-1.32,47.2,24.23428818931158,-9.363090352538624,36.36650413156995,42.16510756752506,35.022311564077576
CH,2026-04-01,86.3,2.54,5.87,"Gonzales, Nick",693304,671096,,swinging_strike,,,,,13,Swinging Strike,R,R,L,CIN,PIT,S,,,0,0,2026,1.05,0.85,-0.2154356052433486,0.767105076189545,,,,2,5,Top,,,,,,,-8.694049508602967,-125.26312890752637,-7.446389119062792,12.795788549449384,24.13771639449312,-21.92675792557412,3.05062336,1.539566929,,,,87.0,2014,6.7,824536,663886,701398,680574,663647,682829,668715,670770,666181,53.76,,,,,,,,36,1,Changeup,1,3,3,1,3,1,3,1,Standard,Standard,143,0.001,-0.043,70.5,8.7,,0.043,,-2,2,0.28,0.72,27,27,27,27,3,2,6.0,1.0,,,2.22,1.05,-1.05,48.3,24.274573562741665,-19.625661784741293,48.176187552654405,33.984878041111585,40.34266516439703
FF,2026-04-01,92.1,2.43,5.93,"Gonzales, Nick",693304,671096,field_out,hit_into_play,,,,,7,"Nick Gonzales grounds out, third baseman Ke'Bryan Hayes to first baseman Sal Stewart.",R,R,L,CIN,PIT,X,5.0,ground_ball,2,2,2026,0.45,1.61,-0.6850826805730491,1.743450798377678,,,,2,2,Top,96.83,170.43,,,,,-8.8352175881978,-133.6283833007758,-8.097875989745443,7.424867851634891,31.30170399127474,-11.222342282669477,3.05062336,1.539566929,8.0,83.6,-12.0,92.3,2282,6.7,824536,663886,701398,680574,663647,682829,668715,670770,666181,53.76,0.108,0.097,0.0,1.0,0.0,0.0,2.0,15,5,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,152,0.006,-0.224,70.3,7.1,0.123,0.224,88.0,-3,3,0.247,0.753,27,27,27,27,2,1,6.0,1.0,,,1.11,0.45,-0.45,49.1,1.35472029927719,0.20566270634995,46.63558105626593,26.474076554410285,25.947608673957603
CU,2026-04-01,80.9,2.4,5.94,"Gonzales, Nick",693304,671096,,ball,,,,,13,Ball,R,R,L,CIN,PIT,B,,,1,2,2026,-1.35,0.04,-0.6855076523726895,0.517358722272419,,,,2,2,Top,,,,,,,-4.192823999623279,-117.6553534157162,-5.247000483990104,-11.664897090991769,23.068073115800537,-31.01648632195649,3.05062336,1.539566929,,,,81.2,2815,6.6,824536,663886,701398,680574,663647,682829,668715,670770,666181,53.87,,,,,,,,15,4,Curveball,0,3,3,0,3,0,3,0,Standard,Standard,310,-0.001,0.042,,,,-0.042,,-3,3,0.248,0.752,27,27,27,27,2,1,6.0,1.0,,,3.46,-1.35,1.35,48.7,,,,,
CH,2026-04-01,86.3,2.66,5.99,"Gonzales, Nick",693304,671096,,ball,,,,,12,Ball,R,R,L,CIN,PIT,B,,,0,2,2026,1.07,0.82,1.3636534608682025,3.19566762524002,,,,2,2,Top,,,,,,,-5.288905991348676,-125.75775117436136,-2.048882473516341,12.400767835733802,21.74804239347025,-23.163830654280357,3.05062336,1.539566929,,,,87.3,1981,6.5,824536,663886,701398,680574,663647,682829,668715,670770,666181,54.01,,,,,,,,15,3,Changeup,0,3,3,0,3,0,3,0,Standard,Standard,142,-0.001,0.022,,,,-0.022,,-3,3,0.249,0.751,27,27,27,27,2,1,6.0,1.0,,,2.19,1.07,-1.07,49.4,,,,,
CU,2026-04-01,79.3,2.39,6.06,"Gonzales, Nick",693304,671096,,swinging_strike,,,,,13,Swinging Strike,R,R,L,CIN,PIT,S,,,0,1,2026,-0.96,-0.58,-0.0637987533008839,0.9062974188011794,,,,2,2,Top,,,,,,,-3.4890711027585866,-115.46209803365748,-3.120360505852358,-7.918742618392892,22.034091760296494,-36.996864147115666,3.05062336,1.539566929,,,,79.6,2796,6.6,824536,663886,701398,680574,663647,682829,668715,670770,666181,53.95,,,,,,,,15,2,Curveball,0,3,3,0,3,0,3,0,Standard,Standard,347,0.002,-0.057,67.8,8.9,,0.057,,-3,3,0.247,0.753,27,27,27,27,2,1,6.0,1.0,,,4.21,-0.96,0.96,53.6,28.061953400171554,-29.7420315002726,43.92861105041012,35.35380784947473,46.38251073270689
FF,2026-04-01,91.7,2.53,6.01,"Gonzales, Nick",693304,671096,,called_strike,,,,,5,Called Strike,R,R,L,CIN,PIT,S,,,0,0,2026,0.86,1.21,0.0463466131676572,2.5532035282838157,,,,2,2,Top,,,,,,,-8.125965018800146,-133.23765594210047,-5.348492565105338,11.981885040578325,28.132606607408775,-16.7169596398748,3.05062336,1.539566929,,,,92.1,2335,6.6,824536,663886,701398,680574,663647,682829,668715,670770,666181,53.9,,,,,,,,15,1,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,155,0.001,-0.043,,,,0.043,,-3,3,0.246,0.754,27,27,27,27,2,1,6.0,1.0,,,1.5,0.86,-0.86,50.4,,,,,
