pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-09-27,92.1,1.35,5.79,"Rodriguez, Eduardo",656811,593958,strikeout,called_strike,,,,,4.0,Ryan O'Hearn called out on strikes.,R,L,L,SD,AZ,S,2.0,,2,2,2025,0.62,1.3,-0.517481729112611,2.8636437025114803,,,,2,6,Bot,,,,,,,-6.070779658132725,-134.05058341830903,-4.422800556899473,8.747208442867407,28.94373024398599,-15.676363010776562,3.41296615097825,1.70454606786573,,,,92.0,2242.0,6.2,776152,672515,694374,663731,545121,672695,664983,677950,678489,54.26,,0.0,0.0,1.0,0.0,0.0,,50,6,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,160.0,-0.002,-0.224,,,,0.224,,4,4,0.943,0.943,32,31,32,32,3,2,6.0,1.0,,1.0,1.38,0.62,0.62,40.1,,,,,
CU,2025-09-27,79.2,1.17,5.91,"Rodriguez, Eduardo",656811,593958,,foul,,,,,13.0,Foul,R,L,L,SD,AZ,S,,,2,2,2025,-0.59,-0.79,-0.8966259508711648,1.234681831495969,,,,2,6,Bot,,,,,,,-3.408944802079268,-115.32857604132782,-1.9036507882905975,-4.54967196077338,23.07106684718793,-39.06974870228886,3.41,1.61,42.0,26.3,42.0,79.0,2393.0,6.3,776152,672515,694374,663731,545121,672695,664983,677950,678489,54.23,,,,,,,,50,5,Curveball,5,1,5,1,1,5,5,1,Standard,Standard,306.0,0.0,0.0,66.0,8.1,,0.0,88.0,4,4,0.943,0.943,32,31,32,32,3,2,6.0,1.0,,1.0,4.45,-0.59,-0.59,42.5,23.377646708850467,8.198290572633212,36.73303329041543,49.72551782165367,28.619135910444857
SI,2025-09-27,91.8,1.27,5.92,"Rodriguez, Eduardo",656811,593958,,foul,,,,,8.0,Foul,R,L,L,SD,AZ,S,,,2,1,2025,1.09,0.84,0.1992875951449884,1.6220237988713282,,,,2,6,Bot,,,,,,,-5.0588208939773995,-133.42019188028746,-6.8111542662885025,14.07434608347047,29.152468600896405,-20.874133166519353,3.41,1.61,,,,91.8,2220.0,6.4,776152,672515,694374,663731,545121,672695,664983,677950,678489,54.13,,,,,,,,50,4,Sinker,5,1,5,1,1,5,5,1,Standard,Standard,161.0,0.0,-0.073,73.4,7.6,,0.073,,4,4,0.943,0.943,32,31,32,32,3,2,6.0,1.0,,1.0,1.88,1.09,1.09,45.3,17.111968174573896,7.713457719691199,42.07013656952296,35.27484114722992,26.14477356774203
CU,2025-09-27,79.2,1.18,5.9,"Rodriguez, Eduardo",656811,593958,,ball,,,,,13.0,Ball,R,L,L,SD,AZ,B,,,1,1,2025,-0.59,-0.87,-1.7121425155487804,-0.1422733512832867,,,,2,6,Bot,,,,,,,-5.235703227904692,-115.1808312190379,-4.721626188559057,-4.17902237227006,23.04382485974369,-39.183908124089015,3.41296615097825,1.70454606786573,,,,79.3,2417.0,6.5,776152,672515,694374,663731,545121,672695,664983,677950,678489,53.97,,,,,,,,50,3,Curveball,5,1,5,1,1,5,5,1,Standard,Standard,317.0,0.0,0.053,,,,-0.053,,4,4,0.943,0.943,32,31,32,32,3,2,6.0,1.0,,1.0,4.54,-0.59,-0.59,46.4,,,,,
FF,2025-09-27,91.8,1.33,5.77,"Rodriguez, Eduardo",656811,593958,,called_strike,,,,,13.0,Called Strike,R,L,L,SD,AZ,S,,,1,0,2025,0.52,1.07,-0.8543291131499133,2.136739446512077,,,,2,6,Bot,,,,,,,-6.66375854809576,-133.5583836751707,-5.688359445542176,7.593992406889075,27.351004113134465,-18.373825977527034,3.53326970664765,1.7336503461137,,,,92.1,2326.0,6.4,776152,672515,694374,663731,545121,672695,664983,677950,678489,54.14,,,,,,,,50,2,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,163.0,0.0,-0.054,,,,0.054,,4,4,0.943,0.943,32,31,32,32,3,2,6.0,1.0,,1.0,1.63,0.52,0.52,40.0,,,,,
SI,2025-09-27,91.6,1.25,5.86,"Rodriguez, Eduardo",656811,593958,,ball,,,,,14.0,Ball,R,L,L,SD,AZ,B,,,0,0,2025,1.01,1.05,0.5389807150875907,1.20689424519206,,,,2,6,Bot,,,,,,,-3.9780809711149785,-133.06927550856986,-8.107292506049454,12.824005761457345,29.821910805638637,-18.165151233204853,3.50446882725159,1.70454606786573,,,,91.5,2359.0,6.4,776152,672515,694374,663731,545121,672695,664983,677950,678489,54.07,,,,,,,,50,1,Sinker,5,1,5,1,1,5,5,1,Standard,Standard,166.0,0.0,0.037,,,,-0.037,,4,4,0.943,0.943,32,31,32,32,3,2,6.0,1.0,,1.0,1.69,1.01,1.01,42.0,,,,,
FF,2025-09-27,91.5,1.31,5.82,"Rodriguez, Eduardo",578428,593958,field_out,hit_into_play,,,,,2.0,"Jose Iglesias grounds out, second baseman Connor Kaiser to first baseman Tim Tawa.",R,R,L,SD,AZ,X,4.0,ground_ball,1,1,2025,0.38,1.2,0.2255443161593018,2.7034747124274325,,,,1,6,Bot,145.24,146.45,,,,,-3.5731533962133057,-133.20925189461943,-4.586503099193699,5.339440537132609,28.65290491683455,-17.116305648835063,3.26,1.43,9.0,95.3,-16.0,91.6,2335.0,6.3,776152,672515,694374,663731,545121,672695,664983,677950,678489,54.15,0.19,0.171,0.0,1.0,0.0,0.0,2.0,49,3,4-Seam Fastball,5,1,5,1,1,5,5,1,Strategic,Standard,160.0,-0.004,-0.244,76.0,6.2,0.191,0.244,95.3,4,4,0.947,0.947,32,35,32,35,3,2,6.0,4.0,,1.0,1.52,0.38,-0.38,42.2,-2.886219657404385,19.29014082130884,28.701530694019652,38.64799646752948,15.145267045380592
CH,2025-09-27,83.6,1.29,5.92,"Rodriguez, Eduardo",578428,593958,,called_strike,,,,,9.0,Called Strike,R,R,L,SD,AZ,S,,,1,0,2025,1.09,0.56,0.3090392988808297,1.7106199283795696,,,,1,6,Bot,,,,,,,-4.418281134644021,-121.5878781240556,-4.376354158106407,11.728055713923174,23.90316027612899,-25.92566021585064,3.08002883310781,1.43317154456252,,,,83.7,1927.0,6.4,776152,672515,694374,663731,545121,672695,664983,677950,678489,54.1,,,,,,,,49,2,Changeup,5,1,5,1,1,5,5,1,Standard,Standard,139.0,0.0,-0.049,,,,0.049,,4,4,0.947,0.947,32,35,32,35,3,2,6.0,4.0,,1.0,2.7,1.09,-1.09,41.4,,,,,
FF,2025-09-27,90.9,1.49,5.86,"Rodriguez, Eduardo",578428,593958,,ball,,,,,12.0,Ball,R,R,L,SD,AZ,B,,,0,0,2025,0.43,0.83,0.2126002313183623,3.797079975947762,,,,1,6,Bot,,,,,,,-4.112773445968462,-132.38488838723225,-1.045498078874021,5.904078319283104,28.797964503306623,-22.372368228482426,3.17150285093663,1.43317154456252,,,,91.0,2245.0,6.3,776152,672515,694374,663731,545121,672695,664983,677950,678489,54.18,,,,,,,,49,1,4-Seam Fastball,5,1,5,1,1,5,5,1,Strategic,Standard,165.0,0.0,0.039,,,,-0.039,,4,4,0.947,0.947,32,35,32,35,3,2,6.0,4.0,,1.0,1.92,0.43,-0.43,38.6,,,,,
CU,2025-09-27,79.4,1.08,5.94,"Rodriguez, Eduardo",657757,593958,strikeout,swinging_strike_blocked,,,,,13.0,Gavin Sheets strikes out swinging.,R,L,L,SD,AZ,S,2.0,,1,2,2025,-0.37,-0.73,-1.1742307250330972,1.099118239518182,,,,0,6,Bot,,,,,,,-4.258764764180532,-115.58359178038964,-2.4164729836487746,-2.4113539819155334,23.381421925478147,-38.420168163896726,3.48,1.7,,,,79.4,2368.0,6.5,776152,672515,694374,663731,545121,672695,664983,677950,678489,54.04,,0.0,0.0,1.0,0.0,0.0,,48,4,Curveball,5,1,5,1,1,5,5,1,Standard,Standard,297.0,-0.003,-0.189,38.0,8.0,,0.189,,4,4,0.95,0.95,32,29,32,29,3,2,6.0,1.0,,1.0,4.37,-0.37,-0.37,45.7,14.07690656014038,-6.0690304439557465,23.47754776303115,54.1119692374276,31.955039646209045
